"Time (s) Run #4","Temperature (°C) Run #4"
72.650,93.6
72.700,93.6
72.750,93.6
72.800,93.6
72.850,93.6
72.900,93.6
72.950,93.6
73.000,93.6
73.050,93.6
73.100,93.6
73.150,93.6
73.200,93.6
73.250,93.6
73.300,93.6
73.350,93.6
73.400,93.6
73.450,93.6
73.500,93.6
73.550,93.6
73.600,93.6
73.650,93.6
73.700,93.6
73.750,93.6
73.800,93.6
73.850,93.6
73.900,93.6
73.950,93.6
74.000,93.6
74.050,93.6
74.100,93.6
74.150,93.6
74.200,93.6
74.250,93.6
74.300,93.6
74.350,93.6
74.400,93.6
74.450,93.6
74.500,93.6
74.550,93.6
74.600,93.6
74.650,93.6
74.700,93.6
74.750,93.6
74.800,93.6
74.850,93.6
74.900,93.6
74.950,93.6
75.000,93.6
75.050,93.6
75.100,93.6
75.150,93.6
75.200,93.6
75.250,93.5
75.300,93.5
75.350,93.5
75.400,93.5
75.450,93.5
75.500,93.5
75.550,93.5
75.600,93.5
75.650,93.5
75.700,93.5
75.750,93.5
75.800,93.5
75.850,93.5
75.900,93.5
75.950,93.5
76.000,93.5
76.050,93.5
76.100,93.5
76.150,93.5
76.200,93.5
76.250,93.5
76.300,93.5
76.350,93.5
76.400,93.5
76.450,93.5
76.500,93.5
76.550,93.5
76.600,93.5
76.650,93.5
76.700,93.5
76.750,93.5
76.800,93.5
76.850,93.5
76.900,93.5
76.950,93.5
77.000,93.5
77.050,93.4
77.100,93.4
77.150,93.4
77.200,93.4
77.250,93.4
77.300,93.4
77.350,93.4
77.400,93.4
77.450,93.4
77.500,93.4
77.550,93.4
77.600,93.4
77.650,93.4
77.700,93.4
77.750,93.4
77.800,93.4
77.850,93.4
77.900,93.4
77.950,93.4
78.000,93.4
78.050,93.4
78.100,93.4
78.150,93.4
78.200,93.4
78.250,93.4
78.300,93.4
78.350,93.4
78.400,93.4
78.450,93.4
78.500,93.4
78.550,93.4
78.600,93.4
78.650,93.4
78.700,93.4
78.750,93.4
78.800,93.4
78.850,93.4
78.900,93.4
78.950,93.4
79.000,93.4
79.050,93.4
79.100,93.4
79.150,93.4
79.200,93.4
79.250,93.4
79.300,93.4
79.350,93.4
79.400,93.4
79.450,93.4
79.500,93.4
79.550,93.3
79.600,93.3
79.650,93.3
79.700,93.3
79.750,93.3
79.800,93.3
79.850,93.3
79.900,93.3
79.950,93.3
80.000,93.3
80.050,93.3
80.100,93.3
80.150,93.3
80.200,93.3
80.250,93.3
80.300,93.3
80.350,93.3
80.400,93.3
80.450,93.3
80.500,93.3
80.550,93.3
80.600,93.3
80.650,93.3
80.700,93.3
80.750,93.3
80.800,93.3
80.850,93.3
80.900,93.3
80.950,93.3
81.000,93.3
81.050,93.3
81.100,93.3
81.150,93.3
81.200,93.2
81.250,93.3
81.300,93.2
81.350,93.2
81.400,93.2
81.450,93.2
81.500,93.2
81.550,93.2
81.600,93.2
81.650,93.2
81.700,93.2
81.750,93.2
81.800,93.2
81.850,93.2
81.900,93.2
81.950,93.2
82.000,93.2
82.050,93.2
82.100,93.2
82.150,93.2
82.200,93.2
82.250,93.2
82.300,93.2
